MiB_Mem_free MiB_Mem_used MiB_Mem_cache MiB_Swap_free MiB_Swap_used MiB_Swap_avail TIME MEM VIRT RES SHR CPU COMMAND
1573.7 112.4 140.9 718.7 101.3 1567.7 0:00.51 1.0 239120 19568 2932 99.9 mem.sh
1532.2 153.9 140.9 718.7 101.3 1524.2 0:01.86 3.5 284132 64712 2932 86.7 mem.sh
1472.3 213.8 140.9 718.7 101.3 1464.0 0:03.25 6.7 345512 125960 2932 93.8 mem.sh
1425.4 260.8 140.9 718.7 101.3 1419.6 0:04.59 9.0 387884 168464 2932 93.3 mem.sh
1395.4 290.7 140.9 718.7 101.3 1389.8 0:05.95 10.9 423128 203576 2932 99.9 mem.sh
1345.5 340.6 140.9 718.7 101.3 1340.9 0:07.31 13.4 470516 251096 2932 93.3 mem.sh
1305.0 381.2 140.9 718.7 101.3 1297.5 0:08.69 16.0 518564 299144 2932 99.9 mem.sh
1244.2 441.9 140.9 718.7 101.3 1238.5 0:10.06 19.0 574268 354848 2932 99.9 mem.sh
1197.2 489.0 140.9 718.7 101.3 1189.9 0:11.45 21.7 625616 406064 2932 99.9 mem.sh
1142.2 543.9 140.9 718.7 101.3 1133.4 0:12.81 25.0 686600 467312 2932 93.3 mem.sh
1085.7 600.5 140.9 718.7 101.3 1078.0 0:14.23 27.7 738608 519056 2932 99.9 mem.sh
1032.0 654.1 140.9 718.7 101.3 1023.1 0:15.58 30.9 797612 578192 2932 99.9 mem.sh
968.9 717.2 140.9 718.7 101.3 963.1 0:16.97 34.0 856088 636800 2932 87.5 mem.sh
923.9 762.2 140.9 718.7 101.3 913.3 0:18.34 36.9 909152 689864 2932 99.9 mem.sh
863.2 822.9 140.9 718.7 101.3 855.4 0:19.73 40.2 971456 751904 2932 99.9 mem.sh
798.4 887.7 140.9 718.7 101.3 789.2 0:21.11 43.6 1036136 816584 2932 99.9 mem.sh
745.5 940.7 140.9 718.7 101.3 736.1 0:22.48 46.6 1090916 871496 2932 99.9 mem.sh
686.2 1000.0 140.9 718.7 101.3 679.6 0:23.87 49.6 1147808 928256 2932 99.9 mem.sh
634.0 1052.2 140.9 718.7 101.3 625.7 0:25.23 52.6 1204040 984488 2932 99.9 mem.sh
573.0 1113.2 140.9 718.7 101.3 564.0 0:26.61 56.0 1266740 1.0g 2932 99.9 mem.sh
517.3 1168.8 140.9 718.7 101.3 509.8 0:27.99 58.9 1320728 1.1g 2932 99.9 mem.sh
469.8 1216.3 140.9 718.7 101.3 462.9 0:29.36 61.5 1369700 1.1g 2932 99.9 mem.sh
413.6 1272.5 140.9 718.7 101.3 405.8 0:30.76 64.6 1428968 1.2g 2932 99.9 mem.sh
360.6 1325.6 140.9 718.7 101.3 354.2 0:32.13 67.6 1483616 1.2g 2932 87.5 mem.sh
300.7 1385.5 140.9 718.7 101.3 291.5 0:33.54 71.0 1546976 1.3g 2932 99.9 mem.sh
239.3 1446.9 140.9 718.7 101.3 231.1 0:34.90 74.0 1604000 1.3g 2932 93.3 mem.sh
177.6 1508.5 140.9 718.7 101.3 170.9 0:36.30 77.6 1670660 1.4g 2932 99.9 mem.sh
114.7 1571.4 140.9 718.7 101.3 107.4 0:37.69 80.9 1733360 1.4g 2932 93.3 mem.sh
82.3 1628.6 116.1 718.4 101.6 55.8 0:39.62 84.9 1807940 1.5g 2932 99.9 mem.sh
77.1 1719.5 30.4 478.9 341.1 18.2 0:49.42 87.9 2182688 1.6g 1160 83.3 mem.sh
71.6 1709.0 46.5 122.5 697.5 22.2 0:56.90 87.7 2472824 1.6g 1092 87.5 mem.sh
69.7 1712.5 44.9 74.9 745.1 13.1 0:58.25 87.8 2526284 1.6g 1092 80.0 mem.sh
71.8 1711.6 43.6 16.6 803.4 22.5 0:59.61 87.9 2577632 1.6g 1092 86.7 mem.sh
