MiB_Mem_free MiB_Mem_used MiB_Mem_cache MiB_Swap_free MiB_Swap_used MiB_Swap_avail TIME MEM VIRT RES SHR CPU COMMAND
1627.8 131.3 67.9 507.4 312.6 1584.2 0:00.58 1.0 238592 19028 2916 50.0 mem.sh
1572.6 186.5 68.0 507.4 312.6 1527.3 0:01.46 2.5 266708 47276 2916 43.8 mem.sh
1509.3 249.8 68.0 507.4 312.6 1463.7 0:02.37 4.4 301028 81596 2916 50.0 mem.sh
1433.7 325.4 68.0 507.4 312.6 1387.5 0:03.26 6.4 338516 119084 2916 37.5 mem.sh
1371.5 387.5 68.0 507.4 312.6 1324.2 0:04.14 8.0 369800 150500 2916 53.3 mem.sh
1314.3 444.7 68.0 507.4 312.6 1269.2 0:05.03 9.6 398840 179276 2916 46.7 mem.sh
1241.4 517.7 68.0 507.4 312.6 1193.8 0:06.00 11.6 436856 217556 2916 50.0 mem.sh
1163.2 595.8 68.0 507.4 312.6 1116.9 0:06.90 13.7 475664 256100 2916 56.2 mem.sh
1092.9 666.1 68.0 507.4 312.6 1045.7 0:07.81 15.6 511304 291740 2916 43.8 mem.sh
1015.3 743.7 68.0 507.4 312.6 968.0 0:08.72 17.7 550244 330812 2916 43.8 mem.sh
941.2 817.9 68.0 507.4 312.6 896.0 0:09.62 19.6 586676 367244 2916 43.8 mem.sh
876.6 882.5 68.0 507.4 312.6 827.8 0:10.54 21.6 622976 403412 2916 43.8 mem.sh
800.7 958.3 68.0 507.4 312.6 753.4 0:11.44 23.5 658880 439316 2916 46.7 mem.sh
729.6 1029.5 68.0 507.4 312.6 683.6 0:12.34 25.3 692144 472844 2916 50.0 mem.sh
662.2 1096.9 68.0 507.4 312.6 616.1 0:13.22 27.1 727256 507692 2916 46.7 mem.sh
582.3 1176.7 68.0 507.4 312.6 537.3 0:14.13 29.3 767912 548348 2916 50.0 mem.sh
510.9 1248.1 68.0 507.4 312.6 460.9 0:15.02 31.4 806720 587156 2916 43.8 mem.sh
434.3 1324.7 68.0 507.4 312.6 387.0 0:15.93 33.4 844472 624908 2916 50.0 mem.sh
364.4 1394.6 68.0 507.4 312.6 319.6 0:16.82 35.2 878660 659228 2916 46.7 mem.sh
290.6 1468.5 68.0 507.4 312.6 245.5 0:17.70 37.3 916544 696980 2916 50.0 mem.sh
219.3 1539.8 68.0 507.4 312.6 172.2 0:18.58 39.2 952052 732620 2916 50.0 mem.sh
149.5 1609.5 68.0 507.4 312.6 102.7 0:19.48 41.0 986768 767204 2916 53.3 mem.sh
73.8 1685.2 68.0 507.4 312.6 25.9 0:20.39 43.2 1026896 807332 2916 53.3 mem.sh
67.7 1707.3 52.0 86.4 733.6 15.6 0:26.30 42.0 1242188 786560 956 37.5 mem.sh
67.0 1712.2 47.8 28.5 791.4 16.7 0:27.22 42.4 1275584 793824 956 46.7 mem.sh
769.2 997.7 60.1 239.5 580.5 719.7 0:31.10 49.3 1415372 922676 1668 99.9 mem.sh
705.9 1061.0 60.1 239.5 580.5 654.0 0:32.70 52.8 1480316 987620 1668 93.8 mem.sh
642.3 1124.6 60.1 239.5 580.5 591.4 0:34.26 56.3 1544996 1.0g 1668 93.3 mem.sh
577.5 1189.4 60.1 239.5 580.5 526.5 0:35.85 59.8 1611788 1.1g 1668 99.9 mem.sh
512.8 1254.1 60.1 239.5 580.5 462.5 0:37.43 63.3 1677788 1.1g 1668 93.8 mem.sh
443.6 1323.3 60.1 239.5 580.5 393.7 0:39.02 67.2 1749596 1.2g 1668 99.9 mem.sh
375.3 1391.6 60.2 239.5 580.5 326.7 0:40.60 70.7 1815860 1.3g 1668 99.9 mem.sh
314.3 1452.6 60.2 239.5 580.5 264.5 0:42.19 74.2 1880672 1.3g 1668 93.8 mem.sh
252.0 1514.8 60.2 239.5 580.5 201.9 0:43.74 77.6 1943900 1.4g 1668 93.3 mem.sh
190.8 1576.1 60.2 239.5 580.5 139.9 0:45.35 81.1 2009108 1.4g 1668 99.9 mem.sh
122.5 1644.3 60.2 239.5 580.5 71.8 0:46.91 84.6 2075372 1.5g 1668 99.9 mem.sh
57.7 1709.0 60.4 239.5 580.5 8.0 0:48.42 87.2 2139788 1.6g 1668 50.0 mem.sh
76.2 1704.4 46.4 51.7 768.3 18.8 0:53.79 87.5 2325248 1.6g 1244 81.2 mem.sh
