TIME MEM VIRT RES SHR CPU COMMAND
0:00.70 1.4 245324 25980 3016 50.0 mem2.sh
0:01.58 2.8 271724 52380 3016 43.8 mem2.sh
0:02.49 4.7 307496 88284 3016 46.7 mem2.sh
0:03.38 6.8 346304 127092 3016 40.0 mem2.sh
0:04.26 8.5 377588 158244 3016 43.8 mem2.sh
0:05.18 10.2 410852 191508 3016 66.7 mem2.sh
0:06.13 12.3 449264 230052 3016 50.0 mem2.sh
0:07.02 14.5 490316 270972 3016 53.3 mem2.sh
0:07.94 16.4 526616 307404 3016 43.8 mem2.sh
0:08.86 18.5 566084 346740 3016 53.3 mem2.sh
0:09.75 20.4 601724 382380 3016 43.8 mem2.sh
0:10.67 22.5 640796 421452 3016 43.8 mem2.sh
0:11.56 24.5 677756 458412 3016 43.8 mem2.sh
0:12.45 26.2 710228 490884 3016 43.8 mem2.sh
0:13.34 28.2 747056 527580 3016 46.7 mem2.sh
0:14.26 30.4 789032 569556 3016 53.3 mem2.sh
0:15.13 32.5 827708 608364 3016 43.8 mem2.sh
0:16.06 34.6 867176 647700 3016 46.7 mem2.sh
0:16.94 36.4 900836 681492 3016 53.3 mem2.sh
0:17.82 38.4 937136 717924 3016 50.0 mem2.sh
0:18.71 40.5 977264 758052 3016 46.7 mem2.sh
0:19.59 42.4 1013300 793956 3016 46.7 mem2.sh
0:20.49 44.5 1052372 833028 3016 37.5 mem2.sh
0:26.41 44.9 1270436 839784 1000 46.7 mem2.sh
0:27.31 45.0 1303304 841692 1000 25.0 mem2.sh
